NAME,DESCRIPTION,DESCRIPTION_y
U7000,U7000 refers to the ISL6258 or ISL6259 charging IC on Macbooks from 2008-2012,
U7100,U7100 refers to the ISL6259 or ISL9239 charging IC on Macbooks from 2013 to the present,
CD3215,This is a USB-C muxing chip responsible for USB-C communication with devices such as the laptop charger. The most common issue this chip is involved in is when a Macbook won’t charge or the charger is stuck at 5v instead of going to 20v.,
U1950,This chip often becomes corroded on pin 8 on the PP3V42_G3H pin causing PM_SLP_S4_L to go missing,
U6100,this is an SPI ROM chip that holds the BIOS which is necessary for the machine to POST or try and power on.,
ISL6259,This is a charging chip for Macbook motherboards from 2010 through 2015,
U7800,,
U1900,,
U3100,,
U7501,"This chip is often responsible for creating PP3V3_S5,  PP3V3_S3,  PP3V3_S0,  PP5V_S5,  PP5V_S4,  PP5V_S0",
U7200,,
U7400,,
U3200,,
U8900,This chip creates the GPU power rails on the 820-3332 board to the 2012 and early 2013 15” Retina Macbook Pros. It becomes desoldered and is the cause of no video and kernel panics/crashes in that model most of the time.,
U7701,,
U5110,This chip is responsible for SMC_RESET_L in many Macbook models.,
U7600,,
CD3217,This is a USB-C muxing chip responsible for USB-C communication with devices such as the laptop charger. The most common issue this chip is involved in is when a Macbook won’t charge or the charger is stuck at 5v instead of going to 20v.,
U2800,,
U7700,,
U6990,,
U7090,This chip is often responsible for creating PP3V42_G3H,
U3900,,
U6900,,
LP8550,This is an LED driver responsible for creating the backlight on the LCD screen of Macbooks from 2011 through 2015,
U7201,U7201 is responsible for the 3.3v and 5v power rails on many devices.,
U7650,,
U9000,,
U6903,This chip is responsible for creating PP3V3_G3H in 2016-2018 model Macbook logic boards,
U9701,,
U8100,,
U8400,,
U9600,,
U2890,,
U6901,,
U5701,"this is the keyboard controller chip that takes the keyboard and trackpad input and turns it into a USB device signal for the machine to process. If replacing a keyboard doesn’t fix an issue with keys not typing, check all traces between keyboard connector and this IC. This chip has programming so it must be replaced from a similar, ideally identical board. ",
U9850,,
U1800,,
U5010,,
U8300,,
U7310,,
U2600,,
U9080,,
U8080,,
U7210,,
U8000,,
U6201,,
U5000,This is the System Management Controller(SMC) in macbooks from 2013-2015,
U1930,,
U3740,,
U6101,,
U9300,,
U7300,,
U7941,,
U4700,,
U4600,,
U8030,,
U3210,,
U9410,,
U6200,,
U9580,,
U4770,,
U8500,,
U1100,,
U5800,,
U8330,,
U8130,,
U8020,,
U4801,,
U4900,This is the System Management Controller(SMC) in older(pre-2013) macbooks,
U4810,,
U8600,,
U5511,,
TPS51125,"This is a power chip responsible for the PP3V3_S5,  PP5V_S5,  and PP5V_S3 power rails on many A1278 model Macbooks",
U3710,,
U8180,,
U7750,,
U9800,,
U4200,,
ISL9239,This is a charging chip for Macbook motherboards from 2016-2018 responsible for charging the battery and creating the power rail PPBUS_G3H,
U4650,,
U6400,,
U7940,,
U8005,,
U5400,,
U5805,,
U2700,,
U5750,,
U7410,,
U5700,,
U3500,,
U5200,,
U9100,,
ISL9240,This is a charging chip for Macbook motherboards from 2018 through 2020,
U7320,,
U0500,,
U7220,,
U5410,,
ISL6258,This is a charging chip for Macbook motherboards from 2008 through 2009,
U4850,,
U7840,,
U3890,,
U9500,,
TPS51980,"This is a power chip responsible for the PP3V3_S5,  PP5V_S5,  and PP5V_S3 power rails on many A1286 Macbook Pros,  A1297 Macbook Pros,  A1369 Macbook Airs,  A1466 Macbook Airs,  A1370 Macbook Airs,  and A1465 Macbook Airs",
TPS62180,"This is a power chip responsible for many different power rails on 2016-2020 Macbook Pros,  most often known as the SSD buck converter chip responsible for NAND power rails",
U6915,,
U8510,,
U4820,,
U5850,,
U3540,,
U5810,,
U8200,,
U7870,,
U7900,,
U7950,,
U5450,,
U7500,,
U4510,,
U5870,,
U7420,,
U7370,,
U5620,,
U5550,,
U4802,,
U9400,,
U1200,,
U7330,,
U7760,,
U7890,,
U5255,,
U5510,,
U3510,,
U3220,,
U5600,,
U6500,,
U2650,,
U6940,,
U6960,,
U7960,,
U7710,,
U8170,,
U1400,,
U4830,,
U8050,,
U6300,,
U2750,,
U8210,,
U4800,,
U8010,,
U7001,,
U8110,,
U5570,,
U6410,,
U7270,,
U3700,,
U8070,,
U7740,,
U8220,,
U7820,,
U2071,,
U1845,,
U3000,,
U3711,,
U4910,,
U8640,,
U8250,,
U7801,,
U8700,,
U8340,,
U8501,,
